names	lfc	padj
SPP1	8.73085	0.0
ASCL4	8.646211	0.0
CDH19	8.2704525	0.0
APOD	8.089148	0.0
GJC3	7.9810195	0.0
ADGRG6	7.9309053	0.0
A2M	7.903572	0.0
BCAN	7.851116	0.0
ROPN1B	7.8398757	0.0
RP11-472N13.3	7.807904	0.0
GJB1	7.751744	0.0
TRDN	7.6045747	0.0
CAV1	7.5549674	0.0
MIA	7.3589773	0.0
SOX10	7.3515615	0.0
FOXD3	7.2868795	0.0
ABCC2	7.267934	0.0
RP11-231C18.1	7.246718	0.0
GPR17	7.217063	0.0
RP11-457P14.5	7.158639	0.0
INSC	7.0898128	0.0
LINC00871	7.085216	0.0
ERBB3	7.026776	0.0
MPZ	7.009273	0.0
COL1A1	6.9134955	0.0
POSTN	6.839555	0.0
S100B	6.8285117	0.0
KANK4	6.801181	0.0
FOXD2-AS1	6.7226152	0.0
ETS1	6.6665916	0.0
CRYM	6.6379657	0.0
NPR3	6.600278	0.0
PMP2	6.4761515	0.0
RGCC	6.4692426	0.0
ALDH1A1	6.3795533	0.0
AFAP1L2	6.3514895	0.0
S100A1	6.34983	0.0
MSTN	6.279607	0.0
CYTL1	6.272794	0.0
FOXD3-AS1	6.2721896	0.0
SSUH2	6.2429166	0.0
COL23A1	6.2421246	0.0
FOXD2	6.223792	0.0
CXCL13	6.152597	0.0
ROPN1	6.1429243	0.0
OTOGL	6.107715	0.0
EGFLAM	6.092082	0.0
TMEM71	6.0734277	0.0
OLFML2A	6.059761	0.0
ITGA4	6.0551786	0.0
ARHGAP15	5.966136	0.0
RXRG	5.9309525	0.0
KLRC2	5.851392	0.0
MOXD1	5.8498464	0.0
PRSS56	5.847963	0.0
VAX1	5.838567	0.0
AZGP1	5.769297	0.0
CFHR1	5.757025	0.0
TMEM37	5.7167244	0.0
SLCO1C1	5.7149634	0.0
NFATC2	5.707026	0.0
ABCA8	5.672905	0.0
HAS2	5.6655245	0.0
LINC00462	5.646702	0.0
DHH	5.632985	0.0
DLX1	5.615349	0.0
LINC00920	5.5884852	0.0
L1TD1	5.5589085	0.0
RBMS3-AS3	5.53013	0.0
GDNF	5.4769917	0.0
CTB-1144G6.6	5.474946	0.0
IGFBP7	5.4054093	0.0
LRRK2	5.385322	0.0
RHOJ	5.371313	0.0
NTM-AS1	5.348133	0.0
ITPR3	5.3157687	0.0
PLAT	5.3078885	0.0
COL11A2	5.2761383	0.0
BGN	5.2504063	0.0
GNLY	5.2496643	0.0
EDNRA	5.234503	0.0
RASL12	5.2203307	0.0
CDH1	5.1686	0.0
LST1	5.162991	0.0
NFIA-AS2	5.161688	0.0
GSTA1	5.1067133	0.0
NID2	5.045752	0.0
DLX2	5.0418606	0.0
CD79B	5.0377226	0.0
CAV2	5.022611	0.0
RP11-386G11.8	5.0063295	0.0
ADRA2C	4.998504	0.0
ADGRA2	4.991078	0.0
LINC00309	4.9631267	0.0
MGST1	4.9571753	0.0
FN1	4.9434757	0.0
ACTG2	4.92933	0.0
SCN4B	4.9190946	0.0
LPAR6	4.915588	0.0
ITGA8	4.9138565	0.0
SMCO3	4.8984613	0.0
ARPC1B	4.8618727	0.0
TBX2	4.845498	0.0
STARD13	4.804819	0.0
S100A11	4.799304	0.0
LINC01198	4.796588	0.0
STEAP1B	4.737429	0.0
LGALS1	4.709287	0.0
IGFBP5	4.684499	0.0
MT2A	4.681233	0.0
SP5	4.656762	0.0
HAS2-AS1	4.6558075	0.0
TBX2-AS1	4.655486	0.0
COL1A2	4.647376	0.0
KIAA0226L	4.592489	0.0
ARSJ	4.578221	0.0
LAMB1	4.531663	0.0
AC006129.2	4.529604	0.0
OVOS2	4.5132394	0.0
GFRA3	4.4873996	0.0
CBR3	4.462857	0.0
SNAI2	4.451408	0.0
LINC00323	4.395677	0.0
HCCAT5	4.392523	0.0
C9orf3	4.3845253	0.0
CDH6	4.3780255	0.0
GPER1	4.350731	0.0
ANGPTL7	4.346759	0.0
ZNF860	4.3428106	0.0
TGFBR3	4.315459	0.0
RP11-522B15.3	4.3136864	0.0
LINC01389	4.2853827	0.0
KIAA1755	4.2546635	0.0
RARRES2	4.224895	0.0
WWTR1	4.221607	0.0
SERPINA5	4.204113	0.0
