names	lfc	padj
COL3A1	13.493425	6.142706713054105e-72
TWIST1	11.267294	6.142706713054105e-72
COL6A3	10.937315	6.142706713054105e-72
DCN	10.269737	6.142706713054105e-72
LUM	10.079802	6.142706713054105e-72
EDN3	9.941056	6.142706713054105e-72
FOXC1	9.5239525	6.142706713054105e-72
TMEM119	9.280537	6.142706713054105e-72
CPED1	9.132751	6.142706713054105e-72
RP11-120I21.2	9.0963335	6.142706713054105e-72
DNM3OS	9.024465	6.142706713054105e-72
OLFML3	8.949656	6.142706713054105e-72
ALDH1A3	8.876402	6.142706713054105e-72
PRRX1	8.815378	1.144223587700547e-71
KDR	8.723794	6.142706713054105e-72
TGFBI	8.710071	6.142706713054105e-72
FOXC2	8.650649	6.142706713054105e-72
KCNE4	8.590248	7.572851742254714e-68
MGP	8.493363	2.0768180812945053e-68
LAMC3	8.464827	7.657184975223118e-72
COL8A2	8.43003	6.142706713054105e-72
DKK2	8.426273	8.502292229160806e-72
PITX2	8.338191	1.1225559515657866e-71
RP5-1172A22.1	8.240961	6.142706713054105e-72
TMEM204	8.183299	6.664521642321029e-72
LGALS1	8.154047	8.502292229160806e-72
EDNRA	8.152324	6.142706713054105e-72
LAMA2	8.137046	6.592027198347006e-72
EGFL6	8.121837	6.824404223980778e-72
PTGS2	8.074166	6.142706713054105e-72
BPI	7.944994	6.142706713054105e-72
ADAM33	7.8082857	6.54290147161439e-72
PITX1	7.803132	4.603653174656829e-70
ALX4	7.7935123	6.142706713054105e-72
IGFBP3	7.716627	6.142706713054105e-72
ALX1	7.671567	6.142706713054105e-72
ABCA9	7.538138	6.142706713054105e-72
FOXD1	7.46654	6.283816177989249e-72
ASB9	7.4640894	6.142706713054105e-72
KCTD12	7.429265	6.142706713054105e-72
COL15A1	7.3952065	7.842060951850763e-72
GLT8D2	7.385418	6.142706713054105e-72
PTHLH	7.3702703	8.726323477883617e-72
ARHGAP6	7.261262	6.142706713054105e-72
BGN	7.247077	8.726323477883617e-72
HGF	7.142043	2.1929351819307206e-70
COL1A1	7.044761	5.301013121006476e-71
IGF2	7.0284696	1.6224653289638166e-71
NID2	7.0078373	9.006258862510361e-72
EVA1B	7.0070944	6.234520042296132e-72
PRRX2	6.978503	6.125442890739134e-71
AQP1	6.9024653	6.142706713054105e-72
ITM2A	6.8816266	6.283816177989249e-72
CCL2	6.874899	6.142706713054105e-72
ISLR	6.873224	1.4915919741169285e-71
TBX2	6.76538	1.2552952124485569e-71
SYNPO2	6.706722	6.944635356242809e-72
PDGFRA	6.690473	6.824404223980778e-72
ACTG2	6.6896887	1.5330348482057844e-71
AC137932.6	6.685939	8.455158290667057e-72
NGF	6.60807	7.188570505565106e-72
SLC16A12	6.572115	6.875539526904211e-72
CRHBP	6.571755	2.781440699088471e-70
ITGB5	6.537817	6.592027198347006e-72
ARHGAP29	6.5195947	2.9815587405373435e-71
TNN	6.5155673	6.142706713054105e-72
ARHGAP20	6.476995	2.7500403504064407e-71
ITGA9	6.4262776	6.142706713054105e-72
AC005477.1	6.399783	9.573971419844496e-72
C1QTNF7	6.3857403	1.7763058000086369e-71
COBLL1	6.369392	7.392038634374426e-72
CYP1B1	6.3483367	2.421394139530103e-71
FIGF	6.3453803	1.8180127847640818e-71
CLDN11	6.3369417	6.944635356242809e-72
FLI1	6.305511	6.824404223980778e-72
FAP	6.2842956	8.726323477883617e-72
SVEP1	6.189337	4.419794839187362e-68
ADGRA2	6.13407	1.1225559515657866e-71
CTSK	6.1268883	8.726323477883617e-72
COL21A1	6.116652	1.1817098758271476e-70
S100A11	6.087332	4.004503156773376e-68
RP11-503C24.4	6.081081	6.824404223980778e-72
TBX2-AS1	6.068975	1.8926652765054027e-71
SERTM1	6.03118	4.6114229397480195e-71
CYTL1	6.02836	9.277045921673345e-71
NBL1	6.004295	6.142706713054105e-72
EMILIN1	5.999619	6.142706713054105e-72
COL1A2	5.9461846	4.680635689688423e-71
ITPR2	5.9155054	6.134230886056216e-71
COLEC12	5.9103703	1.3601314602987265e-71
COL6A2	5.880868	6.142706713054105e-72
PDGFRB	5.8707385	6.142706713054105e-72
IGFBP7	5.8429976	4.873380586312212e-69
TNNT3	5.834392	1.1225559515657866e-71
KYNU	5.830161	9.006258862510361e-72
OSMR	5.797776	6.142706713054105e-72
PDE5A	5.783477	8.726323477883617e-72
KIAA1462	5.7257	1.1994998174102368e-71
ABCC9	5.7245507	1.4130718169517957e-70
BHLHE40	5.718414	2.2033987924918847e-70
HIC1	5.6795206	3.401003524445541e-70
RASEF	5.64872	7.831443798144928e-71
EGFR	5.6391077	1.6207140226063878e-71
HAS2	5.6341195	1.584886556585988e-70
MBOAT1	5.6331778	1.5990258924890878e-71
HAPLN1	5.6249647	6.142706713054105e-72
PHLDA2	5.6176047	1.1085862841984368e-69
PLB1	5.6153073	1.4915919741169285e-71
DMRT2	5.6102476	6.142706713054105e-72
COL5A1	5.5971713	6.664521642321029e-72
TBXA2R	5.595734	8.840565552766859e-72
NKD2	5.587891	1.8634214012120568e-71
ERP27	5.5631676	2.347119089321778e-71
RP11-394O4.5	5.519665	7.188570505565106e-72
APOL4	5.5092287	6.685924867265296e-71
WWTR1	5.500259	2.020159460194463e-71
FBLN5	5.4935493	7.392038634374426e-72
SYNPO	5.4881053	6.142706713054105e-72
PYCARD	5.4842224	8.726323477883617e-72
PTH1R	5.4746685	1.3811904011463672e-71
IL4R	5.460811	2.1266699300300464e-71
CD248	5.4183545	1.3601314602987265e-71
HOXB-AS3	5.41682	1.2208441032912032e-70
RASL12	5.401829	9.137376718923002e-71
LPAR1	5.369817	6.142706713054105e-72
PCOLCE	5.3695793	6.142706713054105e-72
SERPINE1	5.362854	1.994476727259146e-70
HAAO	5.3023252	1.699563121233055e-71
CRYM	5.291995	9.391100248496911e-69
ICAM1	5.290221	2.1503386304044935e-70
LGALS3	5.286417	4.939128108928555e-69
UBA7	5.2544184	1.5330348482057844e-71
RP11-401P9.4	5.2326183	6.824404223980778e-72
TFF3	5.2228336	1.1225559515657866e-71
GRP	5.22237	1.6045905448890482e-70
LINC01139	5.219742	3.61007148304169e-71
RP1-142L7.8	5.167609	3.2882289561963264e-71
TGM2	5.1568227	3.0961716601010298e-71
F3	5.1429	1.2239334647382893e-71
TGFBR3	5.127647	1.2444648621063292e-70
KLHL41	5.108245	6.142706713054105e-72
EYA4	5.094293	2.828609061680711e-71
DAB2	5.089314	3.1726255426218377e-71
COL23A1	5.048084	2.9957903257607643e-69
RP1-79C4.4	5.043998	7.135266242140538e-66
CTB-1144G6.6	5.0054927	3.350234344825019e-70
TRIL	4.994517	1.7763058000086369e-71
RP1-244F24.1	4.978392	3.401003524445541e-70
EPSTI1	4.9742413	3.195362733411901e-67
SLC38A4	4.968565	3.03759794626111e-70
CEBPD	4.95537	1.7100856797820266e-70
IGFBP6	4.949193	3.017264359717482e-69
RP11-401P9.6	4.9325356	4.757717375879412e-71
HSD17B2	4.922113	1.4358374876604108e-71
FN1	4.9159746	7.362356473542637e-69
S1PR3	4.893745	6.592027198347006e-72
PTH2R	4.87166	1.4347226891875051e-67
SMOC2	4.8594	7.842505477377863e-71
KANK4	4.857255	1.493057485567645e-67
SPRY4	4.8423753	1.5185929634995272e-69
DLX5	4.841985	2.4742680409958785e-67
TRIM29	4.83664	2.9053484843338924e-70
TMEM30B	4.81781	1.4352084779640888e-71
CTD-2619J13.13	4.812107	1.0516913163320732e-70
TAGLN	4.810684	3.1839314068027656e-64
PLD1	4.809354	1.2729958206956445e-69
CDC42EP5	4.801088	6.664521642321029e-72
RP11-90K6.1	4.798203	8.840849193690337e-72
LRRC17	4.7840815	8.462339132707994e-70
NFKBIZ	4.7790365	7.661535145790112e-71
PDE3A	4.756924	8.502292229160806e-72
RGS6	4.750094	6.241983854499912e-69
TWIST2	4.747656	2.55886961961858e-71
CXCL12	4.747089	1.5786094758267384e-70
MME	4.7460914	3.1505359167653375e-69
IL32	4.731578	6.266400696618033e-68
GSG1L	4.7206244	9.30988706221608e-71
MDFI	4.7009273	8.437603810396736e-72
LAMA4	4.689467	1.2626251762071899e-69
PPFIBP2	4.689357	1.2239334647382893e-71
FREM1	4.67009	1.3339634677276352e-71
PLAC9	4.658717	9.670406883511888e-69
DUOXA1	4.6468954	1.654638522816695e-71
PRR16	4.624794	2.5243389093862627e-68
CARMN	4.6246715	8.404612858592689e-72
FAM212A	4.6219416	3.08207480948465e-70
CTD-2583P5.1	4.6132627	5.021097512081916e-71
PEAR1	4.611455	2.260790012672695e-71
ASIP	4.60798	9.006258862510361e-72
ANO1	4.5983458	3.6465465110497757e-70
MYOF	4.5802164	1.272565146154746e-69
RP11-6O2.3	4.568193	1.7234732399198476e-69
