names	lfc	padj
UBE2C	6.541986	0.0
TOP2A	5.934332	0.0
CENPF	5.790569	0.0
CCNB1	5.6498055	0.0
TPX2	5.540143	0.0
PIF1	5.4422956	0.0
PTTG1	5.417742	0.0
ASPM	5.2581944	0.0
PLK1	5.2448773	0.0
CDC20	5.2299995	0.0
MKI67	5.2044578	0.0
NEK2	5.1314316	0.0
NUSAP1	5.1257787	0.0
CENPA	5.123308	0.0
CDK1	5.119412	0.0
DLGAP5	5.05465	0.0
CCNB2	5.044612	0.0
CDKN2C	4.9757495	0.0
CDKN3	4.9391184	0.0
HMMR	4.866393	0.0
HMGB2	4.8367796	0.0
CCNA2	4.832825	0.0
AURKA	4.8198767	0.0
NUF2	4.7985244	0.0
CDCA8	4.7970905	0.0
BUB1	4.780052	0.0
KIF2C	4.675141	0.0
KIF20A	4.526084	0.0
FAM83D	4.5212193	0.0
DEPDC1	4.5001407	0.0
PRC1	4.495558	0.0
GTSE1	4.4779596	0.0
PSRC1	4.45284	0.0
SGOL2	4.442566	0.0
CDCA3	4.426362	0.0
CENPE	4.402397	0.0
CKAP2L	4.399686	0.0
KIF23	4.34673	0.0
CKS2	4.3249497	0.0
BIRC5	4.3005786	0.0
TTK	4.293465	0.0
CEP55	4.2303653	0.0
MEIOB	4.2196875	0.0
GAS2L3	4.2165027	0.0
KIF14	4.1928964	0.0
NDC80	4.1743655	0.0
FAM72B	4.173284	0.0
CASC5	4.1473894	0.0
KIFC1	4.144722	0.0
AURKB	4.1237197	0.0
FAM72D	4.1154103	0.0
CDCA2	4.0867786	0.0
FAM64A	4.084131	0.0
ECT2	4.0749784	0.0
SAPCD2	4.0661745	0.0
TACC3	4.0581985	0.0
KPNA2	4.042049	0.0
ARHGEF39	4.032025	0.0
MXD3	4.0034175	0.0
PBK	3.9969409	0.0
KIF4A	3.9898632	0.0
TROAP	3.9729815	0.0
KIF18A	3.9437108	0.0
CDC25C	3.8838725	0.0
KIF11	3.8791265	0.0
FAM72C	3.8769498	0.0
BORA	3.876042	0.0
HJURP	3.8295631	0.0
RP11-977B10.2	3.8026001	0.0
BUB1B	3.8011396	0.0
RACGAP1	3.7958944	0.0
KIF18B	3.7922	0.0
CKAP2	3.7530534	0.0
ARHGAP11A	3.6936598	0.0
MIS18BP1	3.6928182	0.0
INCENP	3.6768484	0.0
KNSTRN	3.6709116	0.0
TUBA1C	3.6616657	0.0
SMC4	3.6453662	0.0
NCAPG	3.5626116	0.0
ESPL1	3.5483222	0.0
SGOL1	3.5439353	0.0
NCAPH	3.507942	0.0
MAD2L1	3.4899704	0.0
CCNA1	3.4873836	0.0
NEIL3	3.480761	0.0
PRR11	3.4452646	0.0
IQGAP3	3.4432938	0.0
CTD-2510F5.4	3.424588	0.0
CRIP3	3.3884742	0.0
UBE2S	3.3564079	0.0
FAM72A	3.350884	0.0
ANLN	3.3361537	0.0
KIF15	3.3340933	0.0
DEPDC1B	3.3140962	0.0
TUBB4B	3.3070748	0.0
CTB-193M12.5	3.2950892	0.0
APOLD1	3.2676637	0.0
CCNF	3.2475724	0.0
FOXN4	3.2412114	0.0
SPAG5	3.240104	0.0
CKS1B	3.2299407	0.0
ATP8B3	3.2256317	0.0
NDE1	3.1878757	0.0
LVCAT1	3.1866477	0.0
ARHGAP11B	3.169247	0.0
MYLK2	3.1601696	0.0
UBE2T	3.1424952	0.0
SPC25	3.140897	0.0
ARL6IP1	3.1271913	0.0
GSG2	3.0801737	0.0
FOXM1	3.0796876	0.0
H2AFX	3.0646746	0.0
RP11-245D16.4	3.0519676	0.0
CTD-2616J11.2	3.0394275	0.0
CIT	3.033207	0.0
NCAPD2	3.032882	0.0
RTKN2	3.0260751	0.0
RP5-1009E24.8	3.0211477	0.0
TNFAIP8L1	3.006962	0.0
MYH11	2.9649637	0.0
KIF20B	2.9552312	0.0
OIP5	2.9333103	0.0
CDC25B	2.9113564	0.0
PTTG2	2.8824942	0.0
SHCBP1	2.8293133	0.0
RNF26	2.8076904	0.0
SKA1	2.7979624	0.0
KIF22	2.789482	0.0
POC1A	2.7810364	0.0
SLC2A5	2.7795386	4.536161867320799e-118
BUB3	2.7707822	0.0
TUBB6	2.7674644	0.0
RP11-932O9.10	2.7571735	0.0
PARPBP	2.7557645	0.0
GEM	2.7409604	0.0
RHEBL1	2.7361944	0.0
TRIM59	2.7219427	0.0
ARHGAP19	2.7050478	0.0
STIL	2.703556	0.0
RP11-122M14.1	2.70046	0.0
LRP4-AS1	2.6882284	0.0
SKA3	2.6875181	0.0
MELK	2.6759133	0.0
ACBD7	2.648886	0.0
GPSM2	2.6453164	0.0
EXPH5	2.6304953	0.0
ERCC6L	2.6259236	0.0
KIAA1524	2.5964112	0.0
E2F8	2.5868597	0.0
MND1	2.5838494	0.0
TICRR	2.5797708	0.0
AC015849.16	2.5646572	0.0
FAM122B	2.5425553	0.0
CENPI	2.5302444	0.0
WDR62	2.5239525	0.0
PHF19	2.516283	0.0
IL13RA2	2.5157127	0.0
CCDC18	2.4986484	0.0
EMC9	2.4930296	0.0
RP11-451G4.2	2.4923935	0.0
DEPDC1-AS1	2.470702	0.0
CEP70	2.4703515	0.0
C2orf48	2.4546406	0.0
REEP4	2.447903	0.0
ANKRD20A2	2.4473715	0.0
MTFR2	2.4420695	0.0
RP13-650J16.1	2.431714	0.0
KIF4B	2.4285793	0.0
C21orf58	2.424324	0.0
RP11-164C12.2	2.4048476	7.17309698688764e-294
CHEK2	2.4010046	0.0
MZT1	2.393606	0.0
CENPL	2.3930233	0.0
DIAPH3	2.380969	0.0
LINC01563	2.3596258	0.0
CKAP5	2.344255	0.0
CDCA5	2.3167176	0.0
G2E3	2.3040838	0.0
TBC1D31	2.2996986	0.0
CENPN	2.2987776	0.0
CENPU	2.295242	0.0
FAS	2.272535	0.0
RP11-798M19.3	2.270598	0.0
DBF4	2.2600465	0.0
CEP135	2.2564247	0.0
SPDL1	2.2550077	0.0
LMNB1	2.2387888	0.0
HMGN2	2.2322457	0.0
SPA17	2.2321255	0.0
LMO7	2.2317543	0.0
FBXO5	2.225003	0.0
RANGAP1	2.2159946	0.0
TRAIP	2.193379	0.0
HCG27	2.172415	0.0
RP11-44N11.2	2.1707878	0.0
RDM1	2.1592784	0.0
PART1	2.1591325	0.0
POLQ	2.144558	0.0
FBXO43	2.1366842	0.0
CENPW	2.1305735	0.0
ESYT3	2.1246805	0.0
RAD21	2.1150784	0.0
ESCO2	2.10763	0.0
ZWINT	2.104153	0.0
RP5-1074L1.1	2.103674	0.0
WEE1	2.102364	0.0
AF001548.5	2.100605	0.0
DDX39A	2.0987227	0.0
DTYMK	2.096778	0.0
RP11-121C6.5	2.0929763	0.0
NEURL1B	2.0779927	0.0
MDC1	2.0641057	0.0
TMPO	2.06016	0.0
ZNF850	2.049407	0.0
FZR1	2.029064	0.0
ODF2	2.0218353	0.0
LINC01552	2.016878	0.0
SMC2	2.01357	0.0
SPC24	2.0054798	0.0
RRM2	2.002383	0.0
HSD17B13	2.0008616	0.0
SUV39H1	1.9873278	0.0
PRC1-AS1	1.9799602	3.288736208781934e-251
TUBA1B	1.9797451	0.0
HMGB3	1.9797375	0.0
SUN2	1.9794014	0.0
HYLS1	1.970647	0.0
NSUN7	1.9692948	0.0
AC005307.3	1.9686233	0.0
RAD51	1.9622371	0.0
ANP32E	1.9359933	0.0
RP11-343H19.1	1.8994644	0.0
ZMYM1	1.8986589	0.0
LBR	1.8926458	0.0
CENPM	1.8828609	0.0
CNTRL	1.8797927	0.0
RP11-449H3.3	1.8762538	0.0
PKN3	1.8718185	0.0
NUCKS1	1.8712121	0.0
TK1	1.8671495	0.0
PLK4	1.8626968	0.0
DBP	1.8571647	0.0
TRIP13	1.8533099	0.0
DDIAS	1.8486321	0.0
CENPC	1.8362781	0.0
LMO7-AS1	1.8256885	0.0
UACA	1.8241577	0.0
CEP112	1.8222181	0.0
CCDC150	1.8209637	0.0
C17orf53	1.8195673	0.0
ORC6	1.8177018	0.0
ZNF732	1.8147655	0.0
RP4-736L20.3	1.8123875	0.0
KLK11	1.8114752	0.0
RP11-108L7.15	1.8109761	0.0
CTD-2616J11.14	1.8052986	0.0
HMG20B	1.8043106	0.0
NCAPG2	1.8002415	0.0
USP2-AS1	1.7997165	0.0
BRD8	1.7962472	0.0
TPTE2	1.7957408	4.6896166114930984e-288
SMTN	1.794356	0.0
OLAH	1.7943431	0.0
RP13-616I3.1	1.7932053	0.0
ASF1B	1.7846842	0.0
DLEU2	1.7817684	0.0
MEIOC	1.77676	0.0
CATSPER3	1.7755667	0.0
RAD51AP1	1.7724992	0.0
BRCA2	1.7712536	0.0
NOSTRIN	1.7701037	0.0
SLC2A12	1.7684458	4.3380011312216267e-300
RP11-433J8.2	1.7651513	0.0
SALRNA2	1.7623385	4.309561618281762e-306
KIF24	1.755626	0.0
SFRP1	1.7523658	1.1106333551809888e-145
FEZF2	1.750074	2.6751255552638395e-212
UCP2	1.746916	0.0
