names	lfc	padj
ANXA1	13.759972	1.8419153031814102e-22
LGALS3	11.887737	1.8419153031814102e-22
KRT17	11.837514	1.8419153031814102e-22
S100A11	11.616692	1.8419153031814102e-22
KRT7	11.60261	1.8419153031814102e-22
RAB25	11.423796	1.8419153031814102e-22
SPRR1B	11.266851	1.8419153031814102e-22
CLDN7	11.143287	1.8419153031814102e-22
SPRR3	10.896471	1.8419153031814102e-22
S100A9	10.782395	1.8419153031814102e-22
CLIC3	10.589728	1.8419153031814102e-22
S100P	10.500993	1.8419153031814102e-22
CST6	10.333447	1.8419153031814102e-22
KRT18	10.258244	1.8419153031814102e-22
MIR4435-2HG	10.23679	1.8419153031814102e-22
VGLL1	10.110528	1.8419153031814102e-22
TMEM40	10.104988	1.8419153031814102e-22
SFN	9.810456	1.8419153031814102e-22
CRB3	9.75188	1.8419153031814102e-22
AP1M2	9.66393	1.8419153031814102e-22
BSPRY	9.262588	1.8419153031814102e-22
CLDN9	9.185213	1.8419153031814102e-22
RARRES3	9.158909	1.8419153031814102e-22
BBOX1	9.14124	1.8419153031814102e-22
AGR3	9.125377	1.8419153031814102e-22
ANXA3	9.101627	1.8419153031814102e-22
MT1E	9.017246	1.8419153031814102e-22
CLIC5	8.967397	1.8419153031814102e-22
SERPINB2	8.963371	1.8419153031814102e-22
MT1H	8.9258175	1.8419153031814102e-22
IGF2	8.779027	1.8419153031814102e-22
CYP1A1	8.711425	1.8419153031814102e-22
PSG4	8.709998	1.8419153031814102e-22
C19orf33	8.647618	1.8419153031814102e-22
GRB7	8.640175	1.8419153031814102e-22
KRT19	8.619525	1.8419153031814102e-22
MT1G	8.568239	1.8419153031814102e-22
PRSS22	8.564387	1.8419153031814102e-22
MT2A	8.518601	1.8419153031814102e-22
C1orf210	8.48919	1.8419153031814102e-22
ERP27	8.484918	1.8419153031814102e-22
MUC15	8.459354	1.8419153031814102e-22
LINC00152	8.368117	1.8419153031814102e-22
EPAS1	8.331154	1.8419153031814102e-22
KDF1	8.330041	1.8419153031814102e-22
ESRP1	8.286711	1.8419153031814102e-22
TC2N	8.277213	1.8419153031814102e-22
ATP12A	8.23345	1.8419153031814102e-22
CEBPD	8.226806	1.8419153031814102e-22
CLDN4	8.17038	1.8419153031814102e-22
CASP4	8.168998	1.8419153031814102e-22
VAMP8	8.13047	1.8419153031814102e-22
GABRP	8.08378	1.8419153031814102e-22
ARHGAP29	8.050296	1.8419153031814102e-22
GATA3	8.024985	1.8419153031814102e-22
DAPP1	8.0246	1.8419153031814102e-22
S100A10	8.008957	4.392898795621869e-22
TINAGL1	8.003332	1.8419153031814102e-22
GBP2	7.9514704	1.8419153031814102e-22
MAL2	7.9311485	1.8419153031814102e-22
S100A8	7.919446	1.8419153031814102e-22
PHLDA2	7.9064026	1.8419153031814102e-22
BARX2	7.8901224	1.8419153031814102e-22
S100A14	7.843279	1.8419153031814102e-22
RP11-392P7.6	7.8372	1.8419153031814102e-22
TMPRSS3	7.8327603	1.8419153031814102e-22
GBP3	7.824526	1.8419153031814102e-22
KB-1562D12.1	7.808404	1.8419153031814102e-22
SMIM22	7.804462	1.8419153031814102e-22
UPK1B	7.8018994	1.8419153031814102e-22
LYPD5	7.7510715	1.8419153031814102e-22
DEFB1	7.7150865	1.8419153031814102e-22
KRT23	7.685638	1.8419153031814102e-22
ELF3	7.6619587	1.8419153031814102e-22
KRT8	7.597725	1.8419153031814102e-22
GPR87	7.5962186	1.8419153031814102e-22
CYP1A2	7.5848346	1.8419153031814102e-22
KIAA0040	7.5691857	1.8419153031814102e-22
PVRL4	7.5596585	1.8419153031814102e-22
LINC01405	7.5438447	1.8419153031814102e-22
PLB1	7.5367794	1.8419153031814102e-22
TINCR	7.5334806	1.8419153031814102e-22
RAB11FIP1	7.5286884	1.8419153031814102e-22
SGCG	7.511823	1.8419153031814102e-22
KRT5	7.4959836	1.8419153031814102e-22
GRHL3	7.460614	1.8419153031814102e-22
CD9	7.448694	1.8419153031814102e-22
CYP19A1	7.379433	1.8419153031814102e-22
TMEM30B	7.36996	1.8419153031814102e-22
AF131216.5	7.355237	1.8419153031814102e-22
KLC3	7.320926	1.8419153031814102e-22
AC011298.2	7.3104973	1.8419153031814102e-22
TRIM55	7.295789	1.8419153031814102e-22
HSPB8	7.2864494	1.8419153031814102e-22
SLC16A11	7.258075	1.8419153031814102e-22
PLAU	7.243483	1.8419153031814102e-22
CRYAB	7.2400556	3.013514932754828e-22
GPRC5A	7.23554	1.8419153031814102e-22
DGUOK-AS1	7.192507	1.8419153031814102e-22
FAM129A	7.159463	1.1171448527174187e-21
GALNT3	7.12601	1.8419153031814102e-22
SPINT1	7.124988	1.8419153031814102e-22
MYOF	7.1145086	1.8419153031814102e-22
WNT6	7.1120915	1.8419153031814102e-22
ICAM4	7.0023894	1.8419153031814102e-22
HES2	7.000118	1.8419153031814102e-22
ANXA2	6.9668117	1.8419153031814102e-22
BLNK	6.944295	1.8419153031814102e-22
KRT4	6.9402685	1.8419153031814102e-22
CXCL16	6.921115	1.8419153031814102e-22
TACSTD2	6.915409	1.8419153031814102e-22
ELF4	6.9122434	1.8419153031814102e-22
SCIN	6.910261	1.8419153031814102e-22
MYL3	6.9094567	1.8419153031814102e-22
AP003068.23	6.8622675	1.8419153031814102e-22
PON3	6.8537526	1.8419153031814102e-22
AREG	6.84248	1.8595407404321447e-22
KMO	6.8362923	1.8419153031814102e-22
PRKCH	6.833743	1.8419153031814102e-22
ABHD11-AS1	6.8093357	4.604661521263506e-21
IRF6	6.8042645	1.8419153031814102e-22
PLEKHN1	6.7963495	1.8419153031814102e-22
COBL	6.7895713	1.8419153031814102e-22
RP11-378A13.2	6.7844667	1.8419153031814102e-22
TNFRSF12A	6.725207	1.8419153031814102e-22
AMN	6.6642904	1.8419153031814102e-22
RP11-532F12.5	6.649989	1.8419153031814102e-22
HSBP1L1	6.6395307	1.8419153031814102e-22
KYNU	6.6297245	1.8419153031814102e-22
PXDC1	6.6254663	1.8419153031814102e-22
ELF5	6.613151	1.8419153031814102e-22
MYLPF	6.5761423	1.8419153031814102e-22
ATP6V1B1	6.527177	1.8419153031814102e-22
PPY	6.5111823	1.8419153031814102e-22
PRSS8	6.4918556	1.8419153031814102e-22
AL450992.2	6.464491	1.8419153031814102e-22
PRR15	6.44833	1.8419153031814102e-22
LAD1	6.434567	1.8419153031814102e-22
RHOD	6.4287906	1.8419153031814102e-22
TAGLN	6.3968368	1.5198837318972752e-18
KRT81	6.36418	1.8419153031814102e-22
S100A6	6.354725	1.8419153031814102e-22
ST14	6.352871	1.8419153031814102e-22
SCEL	6.317629	1.8419153031814102e-22
PPIC	6.3138733	1.8419153031814102e-22
PIEZO1	6.3049974	1.8419153031814102e-22
HTATIP2	6.2970386	1.8419153031814102e-22
C10orf54	6.286725	1.8419153031814102e-22
RP11-420L9.5	6.28538	1.8419153031814102e-22
CTD-2626G11.2	6.2809086	1.8419153031814102e-22
PTH1R	6.2508254	1.8419153031814102e-22
GPAT3	6.22753	1.8419153031814102e-22
ESRP2	6.1973324	1.8419153031814102e-22
CSF3R	6.1937165	1.8419153031814102e-22
DMKN	6.1766233	1.8419153031814102e-22
RP11-119D9.1	6.173603	1.8419153031814102e-22
IL1R1	6.14311	1.8595407404321447e-22
ZNF750	6.1373363	1.8419153031814102e-22
MT1X	6.1301613	1.8419153031814102e-22
S100A16	6.129918	1.8419153031814102e-22
FXYD3	6.117692	1.8419153031814102e-22
TNNT3	6.107166	1.8419153031814102e-22
XAGE2	6.1021833	1.8419153031814102e-22
ADCY10	6.0943794	1.8419153031814102e-22
DUOXA1	6.0907574	1.8419153031814102e-22
KLK8	6.0762453	1.8419153031814102e-22
KLF5	6.068217	1.8419153031814102e-22
LLGL2	6.0522213	1.8419153031814102e-22
NPAS2	6.0306487	1.8419153031814102e-22
C1orf116	6.020456	1.8419153031814102e-22
NCF1	5.9738946	7.312369580913812e-22
CLDN6	5.9397526	1.8419153031814102e-22
CDH1	5.9324117	2.491727361013608e-22
CSRP1	5.9259777	1.8419153031814102e-22
