names	lfc	padj
RP11-338K17.8	4.6765113	4.798927048658032e-147
CTC-425F1.4	4.6621246	2.1690967215410148e-189
RP11-355F16.1	4.310598	1.1417217166452513e-144
TSSK6	3.9228318	1.9055378250526578e-150
LRRC75A	3.8362482	2.8394890255597788e-167
RP11-1293J14.1	3.670229	4.024913626051157e-120
IQGAP3	3.5689366	2.9286210763563187e-85
HS3ST3B1	3.5373826	1.736118290793747e-129
PAQR7	3.5081263	1.499482827408915e-146
HNRNPH1	3.4605615	9.210006513090542e-148
CTD-2636A23.2	3.4504695	1.7289514856237153e-165
CTNNB1	3.4366612	9.436089287186324e-187
TCTN2	3.422109	2.2460236746401632e-166
RP11-491F9.5	3.404819	8.491677955645114e-95
RP11-294J22.6	3.2870097	2.3289825624678584e-165
TMEM132C	3.255598	7.474827500580428e-91
C1orf56	3.247678	8.762001697522013e-167
TEX41	3.2319286	1.510762066479284e-95
RP11-626G11.3	3.1817403	1.3965006234605044e-138
HEPHL1	3.1788259	1.440920515631759e-114
AC079135.1	3.1577952	2.756819850759833e-116
SOX11	3.1532047	3.524777151243592e-128
GOLGA6L10	3.1469395	3.5152156149573566e-112
PTPRS	3.1338677	3.572377917450313e-165
STC1	3.058595	7.491514858616788e-146
TMEM220-AS1	3.0434303	1.2845981724436958e-164
RP11-244M2.1	3.0356932	4.123402881606379e-82
RP11-329B9.5	3.0169582	3.9059116034136395e-129
RP11-439L18.1	3.014892	6.857482052567138e-83
RP11-538P18.2	3.0139563	9.283887752505962e-119
RP11-147L13.12	3.007202	1.5486734510912435e-121
RP11-1275H24.3	2.9933424	2.904591890329174e-126
DKK2	2.991388	1.2372097838297379e-115
SP9	2.9848795	1.533944766361474e-100
LYSMD1	2.9831698	4.7326729982449845e-139
RP11-452L6.1	2.975023	1.606804691583274e-166
LINC01571	2.9683344	2.269698748477844e-112
KCNE3	2.9476306	1.2928410484431573e-115
RP11-33N14.3	2.9376705	2.0191206737865375e-91
AC116366.6	2.9320483	1.691216799820519e-97
MTRNR2L7	2.9227371	2.311008212249049e-115
AC010761.8	2.9183538	3.5776710108061786e-166
RP11-295H24.4	2.9043772	1.4576520073922334e-156
RP11-689K5.3	2.900847	5.951138990123979e-83
LINC00844	2.8927414	4.959776866069615e-81
SPC24	2.8881662	4.384621486248904e-76
RP11-107D24.2	2.8773112	5.544836340645996e-122
RP11-932O9.10	2.866292	1.5824342064312665e-66
AMFR	2.8659608	7.332320936076094e-193
BACE1-AS	2.8494482	1.6550304413096307e-174
INSR	2.842993	4.353024016085486e-130
RP11-479G22.8	2.8229818	9.711248035352051e-74
RP11-1C8.7	2.8212204	5.831476823832573e-90
RP11-76I14.1	2.808111	1.7229536324319209e-84
UCN	2.797959	1.4689274300352086e-149
RP11-73M7.9	2.7961476	1.6122312301302232e-90
BMPR1B	2.7853773	5.34918011198561e-68
GIGYF1	2.7847188	5.6059010806848096e-182
RP11-713N11.6	2.76119	4.997269419058113e-97
PHKG1	2.7593558	5.435205323152637e-175
RP11-48G14.3	2.7440069	4.766890388663177e-131
RP11-486L19.2	2.725001	8.838495669140817e-121
IKZF1	2.7156467	5.396574799757968e-81
RP11-715J22.3	2.7007294	3.6612228080177675e-125
RP11-329B9.4	2.6900156	4.591899531174036e-158
DOCK5	2.6811392	1.1262704225922713e-97
CRB2	2.676422	3.6390648875977474e-86
FAM228A	2.6742876	2.342293528185655e-146
SSPO	2.6723657	7.196612885674626e-126
TMPRSS7	2.6595876	4.7825713836895975e-102
RP11-327J17.9	2.655082	1.6147452733161797e-87
RP4-583P15.10	2.650228	1.2405265566769682e-133
RP11-439M11.1	2.6455414	5.2357965190701545e-115
AC144831.3	2.6418967	3.548054703001599e-149
SLC2A4	2.6407003	2.0529939929530663e-113
NKX3-1	2.6376336	1.262330117777931e-100
AC002550.6	2.6328566	1.2527349018814925e-149
FOXB1	2.630734	2.4798357085229766e-64
RQCD1	2.6300664	4.2278093294600504e-182
B3GALT1	2.6266022	1.169272884254672e-117
NR5A2	2.6227646	1.7206992971447987e-65
LPIN3	2.6148348	6.201917810828483e-122
LINC00886	2.6098056	1.931487745262235e-131
CTD-2091N23.1	2.6042466	4.060569052854674e-70
ZNF835	2.5911546	4.0469751258861104e-84
RP11-90E5.1	2.5856843	1.5211205812284543e-98
AP000936.4	2.5847857	1.7867462855436239e-99
RP4-635E18.8	2.56306	3.73233443633648e-129
AP000473.8	2.5582418	7.767179166893967e-126
LRRC2	2.555167	1.4745556409824579e-145
CTD-3025N20.3	2.550211	3.691943994338214e-123
PEG3	2.5266526	4.209254743194206e-76
AICDA	2.5250862	4.5523842709492175e-128
SLC10A5	2.5159333	1.724880703000992e-150
STRIP2	2.5102959	1.5617876645945694e-102
TSPYL1	2.5069427	2.4239080268031885e-165
RP11-426C22.5	2.4921427	6.899815930839966e-115
B4GALT1	2.487411	3.332710421867759e-133
